Date,Price
4/29/19,71.22
4/30/19,72.19
5/1/19,72.01
5/2/19,70.56
5/3/19,71.95
5/6/19,71.95
5/7/19,70.98
5/8/19,71.09
5/9/19,70.61
5/10/19,71.63
5/13/19,72.35
5/14/19,72.53
5/15/19,73.09
5/16/19,74.7
5/17/19,73.94
5/20/19,73.21
5/21/19,72.94
5/22/19,71.94
5/23/19,68.37
5/24/19,67.98
5/28/19,70.19
5/29/19,70.64
5/30/19,69.55
5/31/19,66.78
6/3/19,63.16
6/4/19,63.56
6/5/19,62.14
6/6/19,62.77
6/7/19,64.1
6/10/19,64.31
6/11/19,63.56
6/12/19,61.66
6/13/19,63.28
6/14/19,63.13
6/17/19,62.56
6/18/19,63.35
6/19/19,62.85
6/20/19,65.44
6/21/19,65.99
6/24/19,65.16
6/25/19,66.24
6/26/19,66.85
6/27/19,66.78
6/28/19,67.52
7/1/19,65.1
7/2/19,62.72
7/3/19,63.53
7/4/19,63.62
7/5/19,64.23
7/8/19,64.89
7/9/19,64.3
7/10/19,66.41
7/11/19,67.64
7/12/19,66.65
7/15/19,66.86
7/16/19,65.87
7/17/19,63.67
7/18/19,60.7
7/19/19,61.04
7/22/19,61.96
7/23/19,62.28
7/24/19,63.83
7/25/19,63.47
7/26/19,62.46
7/29/19,62.29
7/30/19,62.55
7/31/19,64.07
8/1/19,62.9
8/2/19,61.12
8/5/19,59.32
8/6/19,58.63
8/7/19,55.03
8/8/19,56.29
8/9/19,57.37
8/12/19,57.13
8/13/19,59.9
8/14/19,57.86
8/15/19,57.37
8/16/19,59
8/19/19,59.79
8/20/19,59.03
8/21/19,60.6
8/22/19,59.81
8/23/19,58.64
8/26/19,58.64
8/27/19,58.44
8/28/19,60.42
8/29/19,60.59
8/30/19,61.04
9/2/19,58.55
9/3/19,57.93
9/4/19,60.68
9/5/19,62.7
9/6/19,61.28
9/9/19,63.99
9/10/19,64.67
9/11/19,63.02
9/12/19,60.76
9/13/19,61.25
9/16/19,68.42
9/17/19,65.59
9/18/19,64.29
9/19/19,64.25
9/20/19,65.23
9/23/19,64.66
9/24/19,64.13
9/25/19,62.41
9/26/19,62.08
9/27/19,62.48
9/30/19,60.99
10/1/19,60.06
10/2/19,57.92
10/3/19,58.01
10/4/19,59.13
10/7/19,59.46
10/8/19,58.14
10/9/19,59.7
10/10/19,59.08
10/11/19,60.59
10/14/19,58.81
10/15/19,59.19
10/16/19,59.3
10/17/19,59.35
10/18/19,59.96
10/21/19,58.95
10/22/19,60.5
10/23/19,60.52
10/24/19,61.71
10/25/19,62.06
10/28/19,60.39
10/29/19,61.05
10/30/19,60.22
10/31/19,59.3
11/1/19,60.17
11/4/19,62.52
11/5/19,62.72
11/6/19,62.11
11/7/19,62.6
11/8/19,62
11/11/19,62.58
11/12/19,62.19
11/13/19,62.27
11/14/19,62.46
11/15/19,63.32
11/18/19,62.82
11/19/19,62.37
11/20/19,63.8
11/21/19,64.99
11/22/19,64.83
11/25/19,64.67
11/26/19,64.82
11/27/19,65.03
11/28/19,64.68
11/29/19,64.5
12/2/19,63.2
12/3/19,62.95
12/4/19,65.25
12/5/19,65.67
12/6/19,66.5
12/9/19,66.44
12/10/19,66.57
12/11/19,65.37
12/12/19,66.67
12/13/19,67.44
12/16/19,68.04
12/17/19,68.99
12/18/19,69.12
12/19/19,69.7
12/20/19,68.66
12/23/19,67.49
12/24/19,69.26
12/26/19,69.26
12/27/19,68.91
12/30/19,68.3
12/31/19,67.77
1/2/20,67.05
1/3/20,69.08
1/6/20,70.25
1/7/20,68.74
1/8/20,67.31
1/9/20,66.58
1/10/20,66.77
1/13/20,64.14
1/14/20,64.45
1/15/20,63.29
1/16/20,64.63
1/17/20,64.05
1/20/20,64.63
1/21/20,63.66
1/22/20,62.11
1/23/20,61.26
1/24/20,59.34
1/27/20,58.54
1/28/20,59.37
1/29/20,59.46
1/30/20,57.72
1/31/20,57.77
2/3/20,54
2/4/20,53.9
2/5/20,55.36
2/6/20,55.18
2/7/20,54.53
2/10/20,53.39
2/11/20,54
2/12/20,55.54
2/13/20,56.34
2/14/20,57.37
2/17/20,57.83
2/18/20,57.35
2/19/20,59.72
2/20/20,59.72
2/21/20,58.6
2/24/20,56.04
2/25/20,56.71
2/26/20,54.96
2/27/20,52.19
2/28/20,51.31
3/2/20,52.52
3/3/20,52.24
3/4/20,51.86
3/5/20,51.29
3/6/20,45.6
3/9/20,35.33
3/10/20,36.66
3/11/20,34.45
3/12/20,31.05
3/13/20,33
3/16/20,28.04
3/17/20,28.04
3/18/20,26.93
3/19/20,23.3
3/20/20,25.4
3/23/20,25.06
3/24/20,23.75
3/25/20,25.62
3/26/20,23.55
3/27/20,22.39
3/30/20,19.07
3/31/20,19.19
4/1/20,14.97
4/2/20,20.24
4/3/20,24.33
4/6/20,22.58
4/7/20,22.1
4/8/20,25.22
4/9/20,20.23
4/14/20,21.74
4/15/20,19.8
4/16/20,18.69
4/17/20,19.75
4/20/20,17.36
4/21/20,9.12
